source_id,path,title,original_purpose,applicability,major_topics,referenced_sources,known_overlaps,known_conflicts,review_status,reviewed_at
SRC-W0-001,docs/W0-intake/00-main.md,"W0 Planning / Intake 可选 Playbook","在多个候选事项争夺注意力时形成做、推迟或拒绝的最小决策记录","存在多个有价值候选、容量竞争、需恢复取舍依据或 roadmap 可能被外部引用时按需使用","触发与排除条件；最小 intake 记录；判断顺序；人工决策；可选扩展；删除条件","docs/01-minimal-rd-kernel.md;OpenSpec","与最小内核的风险分流、OpenSpec 工作单元和 roadmap 治理存在重叠","来源明确声明冲突时以最小内核为准；本批仅登记不裁决",reviewed,2026-07-16
SRC-W1-001,docs/W1-discovery/00-main.md,"W1 Discovery 核心入口","在实现前澄清目标用户、真实问题、证据、指标、实验和学习决策","用户可见能力、增长或 AI workflow、关键体验及由反馈或事件形成的产品学习","发现边界；核心问题；适用性；产品工件；人工判断；专项导航；阶段出口","docs/01-minimal-rd-kernel.md;docs/W0-intake/00-main.md;docs/W1-discovery/01-product-analytics-experiment-standard.md;W2;W3;W4;W5;W6;W8","与 W0 优先级、W2 风险规格、W3 AI 行为和 W5 验证存在阶段接口重叠","来源明确声明冲突时以最小内核为准；本批仅登记不裁决",reviewed,2026-07-16
SRC-W1-002,docs/W1-discovery/01-product-analytics-experiment-standard.md,"产品分析、事件埋点与隐私友好实验规范","约束生产事件、指标地图、实验分流、隐私审查和数据质量复盘，使分析结果可用、可信、可删、可解释","W1 主入口已触发产品事件、漏斗、A/B、灰度、第三方分析、隐私或数据质量专项时使用","采集最小化；tracking plan；指标地图；实验可信度；隐私；数据质量；后端与前端实现；AI workflow；人工门禁","docs/01-minimal-rd-kernel.md;docs/W1-discovery/00-main.md;W2;W3;W4;W7;W8;W9;OpenTelemetry;HEART/GSM;Vite;OpenFeature","与观测性、计费、审计、支持、AI 数据和 W1 主发现工件存在边界重叠","来源明确声明冲突时以最小内核为准；产品分析与事实记录或观测性边界需后续全局审查",reviewed,2026-07-16
SRC-W2-001,docs/W2-openspec-risk/00-main.md,"W2 OpenSpec / Risk 核心入口","把 Standard/High-risk 变更压缩为可审查的行为、边界、风险、验收和退出条件","用户可见、生产、契约、数据、权限、供应商或跨会话且需要独立验收的实现性变更","OpenSpec 最小结构；专项风险工件；人工判断；专项导航；阶段出口","docs/01-minimal-rd-kernel.md;docs/W0-intake/00-main.md;docs/W1-discovery/00-main.md;W3;W4;W5;W6;W7;W8;W9","与最小内核 Standard/High-risk 分流及各风险专项存在入口重叠","来源明确声明冲突时以最小内核为准；本批不裁决专项所有权",reviewed,2026-07-16
SRC-W2-002,docs/W2-openspec-risk/01-architecture-boundary-standard.md,"架构决策、代码组织与模块边界规范","为高影响架构决策、模块职责、依赖方向、数据/API/AI 边界提供最小可记录和可检查的结构","架构边界、模块职责、数据所有权、依赖方向、服务或框架边界发生变化时使用","ADR；边界清单；模块图；依赖规则；Go/Kratos/sqlc/gRPC；Vite；AI workflow；人工取舍","docs/01-minimal-rd-kernel.md;docs/W2-openspec-risk/00-main.md;Parnas;ADR;C4;DDD;Ports and Adapters;Go;Kratos;Vite;OpenAI;SRE","与 API 契约、安全权限、供应商锁定、实现目录规范存在重叠","来源明确声明冲突时以最小内核为准；架构与专项规则所有权待全局分类",reviewed,2026-07-16
SRC-W2-003,docs/W2-openspec-risk/02-api-contract-compatibility-standard.md,"API 契约、兼容性与版本演进规范","记录生产契约、消费者、兼容策略、弃用和验证方式，降低演进与迁移风险","API、Protobuf、错误语义、事件、webhook、AI tool schema 或外部可观察契约变化时使用","surface map；source/wire/semantic 兼容；Protobuf 演进；错误模型；contract tests；AI schema；前端；人工门禁","docs/01-minimal-rd-kernel.md;docs/W2-openspec-risk/00-main.md;Hyrum's Law;Google AIP-180;Protobuf;Buf;gRPC;SemVer;OpenAI;Confluent","与架构边界、数据迁移、配置、AI eval 和发布门禁存在重叠","来源明确声明冲突时以最小内核为准；契约与实现或发布检查的权威位置待全局分类",reviewed,2026-07-16
SRC-W2-004,docs/W2-openspec-risk/03-security-auth-supply-chain-standard.md,"W2 触发专项：安全、隐私、Auth 与供应链边界规范","把安全隐私与 Auth/tenant 边界合并为实现前门禁","change 涉及威胁、数据处理、认证授权、租户隔离、管理员访问、secret、供应链、构建来源或 AI 工具权限时使用","默认拒绝；最小权限；数据与身份；租户授权；供应链；secret；AI 工具；人工高风险决策","docs/01-minimal-rd-kernel.md;docs/W2-openspec-risk/00-main.md;W4;W5;W7","与架构、客户数据、供应商、实现和运行安全规则存在重叠","来源明确声明冲突时以最小内核为准；合并专项与独立门禁的所有权待全局分类",reviewed,2026-07-16
SRC-W2-005,docs/W2-openspec-risk/04-cost-data-vendor-trust-boundary-standard.md,"W2 触发专项：成本、客户数据、供应商、IP 与信任边界规范","在钱、客户数据、外部供应商、权利来源和用户承诺上建立可承受边界","change 涉及成本容量、数据生命周期、供应商处理、出境、IP/license、AI 输出权利或对外承诺时使用","预算与容量；客户数据生命周期；供应商证据；IP 来源；信任承诺；实现边界；人工门禁","docs/01-minimal-rd-kernel.md;docs/W2-openspec-risk/00-main.md","与安全隐私、数据迁移、异步作业、外部声明、审计和运行降级规则存在重叠","来源明确声明冲突时以最小内核为准；合并专项与各领域权威位置待全局分类",reviewed,2026-07-16
"SRC-W3-001","docs/W3-ai-behavior/00-main.md","W3 AI Behavior 核心入口","定义用户可见 AI 能力的目标、失败、拒绝、降级、评测和人工门禁","W2 已确认变更影响用户可见 AI 行为、prompt、模型、工具、RAG、记忆、内容安全、eval、数据或多语言输出时使用","行为定义；适用范围；最小 AI 工件；eval 样例；安全边界；人工判断；专项出口","docs/01-minimal-rd-kernel.md;docs/W1-discovery/00-main.md;docs/W2-openspec-risk/00-main.md;docs/W3-ai-behavior/01-prompt-eval-agent-workflow-standard.md;docs/W3-ai-behavior/02-ai-eval-safety-standard.md;docs/W3-ai-behavior/03-ai-context-memory-retrieval-standard.md;docs/W3-ai-behavior/04-ai-runtime-routing-tools-standard.md;W4;W5;W6;W8","与 W1 产品证据、W2 风险边界、W4 实现、W5 验证和 W8 学习回流存在阶段接口重叠","来源明确声明冲突时以最小内核为准；专项边界待全局分类",reviewed,2026-07-16
"SRC-W3-002","docs/W3-ai-behavior/01-prompt-eval-agent-workflow-standard.md","AI prompt / eval / agent workflow 研发规范","规范 prompt、schema、eval fixtures、模型调用、工具与 agent 升级的仓库工件和最小质量门禁","W3 主入口已触发 prompt、eval、结构化输出、workflow/agent 升级或最小 AI 质量门禁时使用","prompt/eval 先行；artifact 目录；结构化输出；agent 升级；工具安全；运维信号；人工门禁","docs/01-minimal-rd-kernel.md;docs/W3-ai-behavior/00-main.md;OpenAI Prompt Engineering;OpenAI Evaluation Best Practices;OpenAI Agent Evals;OpenAI Agents;OpenAI Safety;Anthropic Agents;Google Rules of ML;Google SRE","与 AI 数据安全、运行时路由、工具权限、W4 实现和 W7 观测规则存在重叠","来源明确声明冲突时以最小内核为准；旧 Evals platform 时效声明需后续复核",reviewed,2026-07-16
