principle_id,level,category,item,statement,supporting_cluster_ids,supporting_rule_ids,decision_guidance,stability_check,conflicting_rule_ids,status
"ITEM-SELECTION-001","item","立项","选题","选题应先确认问题、义务或风险是否真实存在，而不是从解决方案名称开始。","CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001","RULE-W0-016;RULE-W0-017","候选从方案名称开始时，先确认问题、义务或风险是否真实，再判断是否进入选题。","解决方案和记录方式会变化，先确认问题真实存在的判断顺序仍成立。","","approved"
"ITEM-RESEARCH-001","item","立项","调研","实验结果出来后，必须由人选择继续、停止、转向或迭代，不能继续凭感觉推进。","CLUSTER-RESEARCH-HYPOTHESIS-EXPERIMENT-SRC-W1-001","RULE-W1-032;RULE-W1-039","实验结果出来后，由人明确选择继续、停止、转向或迭代，并执行该结论。","实验方法和数据工具会变化，结果出来后由人明确选择下一步仍成立。","","approved"
"ITEM-DEFINITION-001","item","产品设计","定义","定义产品变化时，应同时明确要改变的行为与明确不改变的范围。","CLUSTER-DEFINITION-SCOPE-OUTCOME-SRC-W2-001","RULE-W2-007","无法同时说明改变与不改变什么时，继续收窄本轮产品范围。","实现方式会变化，行为与非范围仍是产品变化的稳定边界。","","approved"
"ITEM-EXPERIENCE-001","item","产品设计","体验设计","涉及用户界面请求时，体验设计必须覆盖等待、空缺、失败和成功四类状态。","CLUSTER-EXPERIENCE-INTERACTION-STATES-FP-SRC-W4-003","RULE-W4-003-040;RULE-W4-003-041;RULE-W4-003-042;RULE-W4-003-043","设计用户界面请求时，逐一判断四类状态是否都有可理解的呈现与后续动作。","界面框架会变化，用户仍需要理解请求尚未完成、没有结果、失败或成功。","","approved"
"ITEM-TECH-DESIGN-001","item","工程交付","技术设计","技术设计不应为未来假想规模引入复杂架构；影响依赖方向、数据所有权、接口契约、AI 工具边界或供应商锁定的决定必须记录。","CLUSTER-TECH-DESIGN-ARCHITECTURE-BOUNDARY-SRC-W2-002-API-CONTRACT;CLUSTER-TECH-DESIGN-API-CONTRACT-ERROR-MODEL-SRC-W2-002","RULE-W2-053;RULE-W2-054","架构复杂度只有在当前约束能够证明时才增加；列举边界发生变化时保留明确决定。","框架和部署形态会变化，避免假想复杂度并记录关键边界决定仍成立。","","approved"
"ITEM-PLANNING-001","item","工程交付","计划","工作跨会话、需要独立验收或中断后难以恢复上下文时，应显式跟踪；一份记录足够时不再拆分计划工件。","CLUSTER-PLANNING-BACKUP-RESTORE-RECOVERY-FP-SRC-W2-001;CLUSTER-PLANNING-BACKUP-RESTORE-RECOVERY-FP-SRC-W0-001","RULE-W2-020;RULE-W0-015","命中任一跟踪条件时保留可恢复状态；单一记录已经足够时停止增加规划层次。","计划载体会变化，跟踪强度与跨会话、独立验收和恢复难度相称的判断仍成立。","","approved"
"ITEM-IMPLEMENTATION-001","item","工程交付","实现","实现需要改变接口、架构、权限、安全、成本、数据、供应商或承诺边界时，应返回技术设计更新相应决定。","CLUSTER-IMPLEMENTATION-API-CONTRACT-ERROR-MODEL-SRC-W4-001;CLUSTER-IMPLEMENTATION-GOVERNANCE-MAIN-SRC-W4-001-GENERAL","RULE-W4-001-084;RULE-W4-001-064","实现中发现列举边界必须变化时，先更新拥有该边界的设计输入，再继续实现。","语言和框架会变化，实现不能静默重定义既定边界的要求仍成立。","","approved"
"ITEM-VERIFICATION-001","item","工程交付","验证","验证应使用最少、最快、最可信的测试保护最重要行为。","CLUSTER-VERIFICATION-TEST-VERIFICATION-EVIDENCE-SRC-W5-002-PRINCIPLE-INPUT","RULE-W5-002-005","选择测试组合时，优先保护最重要行为，并去掉不能增加可信结论的重复成本。","测试框架会变化，证据组合的速度、数量、可信度与行为重要性仍需权衡。","","approved"
"ITEM-RELEASE-001","item","工程交付","发布","发布默认应小批量且可回滚。","CLUSTER-RELEASE-RELEASE-READINESS-DEPLOYMENT-SRC-W7-002","RULE-W7-002-024","选择暴露方式时默认缩小首批范围，并确认能够回到可接受状态。","部署平台会变化，小批量和可回滚仍能限制真实环境影响。","","approved"
"ITEM-OPERATION-001","item","运行维护","运行","没有付费关键路径或合同 SLA 时，不默认全天候值守；出现合同 SLA、付费关键流程或高损失场景时，必须由人确认更高保障目标。","CLUSTER-OPERATIONS-SOLO-MINIMUM-READINESS;CLUSTER-OPERATIONS-SOLO-ONCALL-BOUNDARY;CLUSTER-OPERATIONS-GOVERNANCE-SRE-LITE-OPERATIONS-SRC-W7-002-PROCESS-GOVERNANCE","RULE-W7-002-117;RULE-W7-002-120;RULE-W7-002-018","没有列举触发条件时维持非全天候默认；任一条件出现时，必须由人确认更高保障目标。","监控与值守工具会变化，保障强度与合同 SLA、付费关键流程或高损失场景相称的原则仍成立。","","approved"
