rule_id,source_id,source_path,source_start_line,source_end_line,treatment,target_rule_id,principle_ids,retirement_reason,conflict_status
RULE-W0-001,SRC-W0-001,docs/W0-intake/00-main.md,9,9,merge,TOPIC-SELECTION-TRIGGER,,,
RULE-W0-002,SRC-W0-001,docs/W0-intake/00-main.md,9,9,merge,TOPIC-SELECTION-TRIGGER,,,
RULE-W0-003,SRC-W0-001,docs/W0-intake/00-main.md,9,9,merge,TOPIC-SELECTION-TRIGGER,,,
RULE-W0-004,SRC-W0-001,docs/W0-intake/00-main.md,9,9,merge,TOPIC-SELECTION-TRIGGER,,,
RULE-W0-005,SRC-W0-001,docs/W0-intake/00-main.md,15,15,merge,TOPIC-SELECTION-TRIGGER,,,
RULE-W0-006,SRC-W0-001,docs/W0-intake/00-main.md,16,16,merge,TOPIC-SELECTION-TRIGGER,,,
RULE-W0-007,SRC-W0-001,docs/W0-intake/00-main.md,17,17,merge,TOPIC-SELECTION-TRIGGER,,,
RULE-W0-008,SRC-W0-001,docs/W0-intake/00-main.md,18,18,merge,TOPIC-SELECTION-TRIGGER,,,
RULE-W0-009,SRC-W0-001,docs/W0-intake/00-main.md,19,19,merge,TOPIC-SELECTION-TRIGGER,,,
RULE-W0-010,SRC-W0-001,docs/W0-intake/00-main.md,23,23,merge,TOPIC-SELECTION-FAST-PATH,,,
RULE-W0-011,SRC-W0-001,docs/W0-intake/00-main.md,24,24,merge,TOPIC-SELECTION-FAST-PATH,,,
RULE-W0-012,SRC-W0-001,docs/W0-intake/00-main.md,25,25,merge,TOPIC-SELECTION-FAST-PATH,,,
RULE-W0-013,SRC-W0-001,docs/W0-intake/00-main.md,26,26,rewrite,VERIFY-EVIDENCE-W0-001-L026,,,
RULE-W0-014,SRC-W0-001,docs/W0-intake/00-main.md,30,30,merge,TOPIC-DECISION-RECORD,,,
RULE-W0-015,SRC-W0-001,docs/W0-intake/00-main.md,47,47,rewrite,PLAN-SINGLE-RECORD-DEFAULT,ITEM-PLANNING-001,,
RULE-W0-016,SRC-W0-001,docs/W0-intake/00-main.md,51,51,merge,TOPIC-PROBLEM-FIRST,CATEGORY-INITIATION-001;ITEM-SELECTION-001,,
RULE-W0-017,SRC-W0-001,docs/W0-intake/00-main.md,51,51,merge,TOPIC-PROBLEM-FIRST,ITEM-SELECTION-001,,
RULE-W0-018,SRC-W0-001,docs/W0-intake/00-main.md,52,52,merge,TOPIC-CANDIDATE-COMPARISON,,,
RULE-W0-019,SRC-W0-001,docs/W0-intake/00-main.md,53,53,merge,TOPIC-CANDIDATE-COMPARISON,,,
RULE-W0-020,SRC-W0-001,docs/W0-intake/00-main.md,53,53,merge,TOPIC-CANDIDATE-COMPARISON,,,
RULE-W0-021,SRC-W0-001,docs/W0-intake/00-main.md,53,53,merge,TOPIC-CANDIDATE-COMPARISON,,,
RULE-W0-022,SRC-W0-001,docs/W0-intake/00-main.md,53,53,merge,TOPIC-CANDIDATE-COMPARISON,,,
RULE-W0-023,SRC-W0-001,docs/W0-intake/00-main.md,53,53,merge,TOPIC-CANDIDATE-COMPARISON,,,
RULE-W0-024,SRC-W0-001,docs/W0-intake/00-main.md,54,54,merge,TOPIC-WIP-DISPLACEMENT,,,
RULE-W0-025,SRC-W0-001,docs/W0-intake/00-main.md,54,54,merge,TOPIC-WIP-DISPLACEMENT,,,
RULE-W0-026,SRC-W0-001,docs/W0-intake/00-main.md,55,55,merge,TOPIC-NON-SELECTION-RECORD,,,
RULE-W0-027,SRC-W0-001,docs/W0-intake/00-main.md,56,56,rewrite,TOPIC-SELECTED-CONTEXT,,,
RULE-W0-028,SRC-W0-001,docs/W0-intake/00-main.md,56,56,merge,IMPL-SELECTED-STANDARD-HIGH-RISK-CHANGE,,,
RULE-W0-029,SRC-W0-001,docs/W0-intake/00-main.md,58,58,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,,,
RULE-W0-030,SRC-W0-001,docs/W0-intake/00-main.md,58,58,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,,,
RULE-W0-031,SRC-W0-001,docs/W0-intake/00-main.md,58,58,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,,,
RULE-W0-032,SRC-W0-001,docs/W0-intake/00-main.md,62,62,merge,DEFINITION-HUMAN-PRODUCT-DECISION,,,
RULE-W0-033,SRC-W0-001,docs/W0-intake/00-main.md,63,63,rewrite,TECH-157-BILLING-ENTITLEMENT-PRICING-S01,,,
RULE-W0-034,SRC-W0-001,docs/W0-intake/00-main.md,64,64,rewrite,TOPIC-EXTERNAL-COMMITMENT,,,
RULE-W0-035,SRC-W0-001,docs/W0-intake/00-main.md,65,65,rewrite,VERIFY-EVIDENCE-W0-001-L065,,,
RULE-W0-036,SRC-W0-001,docs/W0-intake/00-main.md,66,66,rewrite,TOPIC-HIGH-IMPACT-SCOPE-REDUCTION,,,
RULE-W0-037,SRC-W0-001,docs/W0-intake/00-main.md,68,68,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,,,
RULE-W0-038,SRC-W0-001,docs/W0-intake/00-main.md,68,68,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,,,
RULE-W0-039,SRC-W0-001,docs/W0-intake/00-main.md,68,68,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,,,
RULE-W0-040,SRC-W0-001,docs/W0-intake/00-main.md,68,68,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,,,
RULE-W0-041,SRC-W0-001,docs/W0-intake/00-main.md,72,72,merge,TOPIC-GOVERNANCE-EXTENSION,,,
RULE-W0-042,SRC-W0-001,docs/W0-intake/00-main.md,74,74,merge,TOPIC-GOVERNANCE-EXTENSION,,,
RULE-W0-043,SRC-W0-001,docs/W0-intake/00-main.md,75,75,merge,TOPIC-GOVERNANCE-EXTENSION,,,
RULE-W0-044,SRC-W0-001,docs/W0-intake/00-main.md,76,76,rewrite,EXPERIENCE-FOCUS-REVIEW-TRIGGER,,,
RULE-W0-045,SRC-W0-001,docs/W0-intake/00-main.md,77,77,merge,TOPIC-GOVERNANCE-EXTENSION,,,
RULE-W0-046,SRC-W0-001,docs/W0-intake/00-main.md,78,78,merge,TOPIC-GOVERNANCE-EXTENSION,,,
RULE-W0-047,SRC-W0-001,docs/W0-intake/00-main.md,80,80,merge,TOPIC-GOVERNANCE-EXTENSION,,,
RULE-W0-048,SRC-W0-001,docs/W0-intake/00-main.md,80,80,rewrite,VERIFY-WORKFLOW-GATE-W0-001-L080,,,
RULE-W0-049,SRC-W0-001,docs/W0-intake/00-main.md,84,84,merge,RESEARCH-DECISION-HANDOFF,,,
RULE-W0-050,SRC-W0-001,docs/W0-intake/00-main.md,84,84,merge,RESEARCH-DECISION-HANDOFF,,,
RULE-W0-051,SRC-W0-001,docs/W0-intake/00-main.md,84,84,merge,RESEARCH-DECISION-HANDOFF,,,
RULE-W0-052,SRC-W0-001,docs/W0-intake/00-main.md,84,84,merge,RESEARCH-DECISION-HANDOFF,,,
RULE-W0-053,SRC-W0-001,docs/W0-intake/00-main.md,84,84,merge,TOPIC-NON-SELECTION-RECORD,,,
RULE-W0-054,SRC-W0-001,docs/W0-intake/00-main.md,88,88,merge,TOPIC-GOVERNANCE-RETIREMENT,,,
RULE-W0-055,SRC-W0-001,docs/W0-intake/00-main.md,89,89,rewrite,EVALUATION-ARTIFACT-001,,,
RULE-W0-056,SRC-W0-001,docs/W0-intake/00-main.md,90,90,merge,TOPIC-GOVERNANCE-RETIREMENT,,,
RULE-W0-057,SRC-W0-001,docs/W0-intake/00-main.md,91,91,merge,TOPIC-GOVERNANCE-RETIREMENT,,,
RULE-W0-058,SRC-W0-001,docs/W0-intake/00-main.md,92,92,merge,TOPIC-GOVERNANCE-RETIREMENT,,,
RULE-W0-059,SRC-W0-001,docs/W0-intake/00-main.md,3,3,merge,TOPIC-NORM-PRECEDENCE,,,
RULE-W0-060,SRC-W0-001,docs/W0-intake/00-main.md,33,33,merge,TOPIC-DECISION-RECORD,,,
RULE-W0-061,SRC-W0-001,docs/W0-intake/00-main.md,34,34,merge,TOPIC-DECISION-RECORD,,,
RULE-W0-062,SRC-W0-001,docs/W0-intake/00-main.md,35,35,merge,TOPIC-DECISION-RECORD,,,
RULE-W0-063,SRC-W0-001,docs/W0-intake/00-main.md,36,36,merge,TOPIC-DECISION-RECORD,,,
RULE-W0-064,SRC-W0-001,docs/W0-intake/00-main.md,37,37,rewrite,VERIFY-EVIDENCE-W0-001-L037,,,
RULE-W0-065,SRC-W0-001,docs/W0-intake/00-main.md,38,38,merge,TOPIC-DECISION-RECORD,,,
RULE-W0-066,SRC-W0-001,docs/W0-intake/00-main.md,39,39,merge,TOPIC-DECISION-RECORD,,,
RULE-W0-067,SRC-W0-001,docs/W0-intake/00-main.md,40,40,merge,TOPIC-DECISION-RECORD,,,
RULE-W0-068,SRC-W0-001,docs/W0-intake/00-main.md,41,41,merge,TOPIC-DECISION-RECORD,,,
RULE-W0-069,SRC-W0-001,docs/W0-intake/00-main.md,42,42,merge,TOPIC-DECISION-RECORD,,,
RULE-W0-070,SRC-W0-001,docs/W0-intake/00-main.md,43,43,merge,TOPIC-DECISION-RECORD,,,
RULE-W0-071,SRC-W0-001,docs/W0-intake/00-main.md,44,44,merge,TOPIC-DECISION-RECORD,,,
RULE-W1-001,SRC-W1-001,docs/W1-discovery/00-main.md,9,9,rewrite,TOPIC-RESEARCH-PRIORITY-BOUNDARY,,,
RULE-W1-002,SRC-W1-001,docs/W1-discovery/00-main.md,9,9,rewrite,TOPIC-RESEARCH-SPEC-BOUNDARY,,,
RULE-W1-003,SRC-W1-001,docs/W1-discovery/00-main.md,9,9,rewrite,VERIFY-AI-EVAL-FIXTURE-W1-001-L009,,,
RULE-W1-004,SRC-W1-001,docs/W1-discovery/00-main.md,9,9,merge,IMPL-DISCOVERY-AND-SPEC-BOUNDARY,,,
RULE-W1-005,SRC-W1-001,docs/W1-discovery/00-main.md,9,9,supersede,RELEASE-SCOPE-001,,,
RULE-W1-006,SRC-W1-001,docs/W1-discovery/00-main.md,13,13,merge,RESEARCH-PREIMPLEMENTATION-GATE,,,
RULE-W1-007,SRC-W1-001,docs/W1-discovery/00-main.md,15,15,merge,DEFINITION-PRODUCT-BET,,,
RULE-W1-008,SRC-W1-001,docs/W1-discovery/00-main.md,16,16,merge,RESEARCH-REAL-WORLD-EVIDENCE,,,
RULE-W1-009,SRC-W1-001,docs/W1-discovery/00-main.md,17,17,rewrite,RESEARCH-FOCUSED-OUTCOME,,,
RULE-W1-010,SRC-W1-001,docs/W1-discovery/00-main.md,18,18,merge,RESEARCH-VALUE-METRIC-AUTHORITY,,,
RULE-W1-011,SRC-W1-001,docs/W1-discovery/00-main.md,18,18,merge,DEFINITION-GUARDRAIL-METRICS,,,
RULE-W1-012,SRC-W1-001,docs/W1-discovery/00-main.md,19,19,merge,TOPIC-INVESTMENT-EVIDENCE-GATE,,,
RULE-W1-013,SRC-W1-001,docs/W1-discovery/00-main.md,21,21,merge,IMPL-USER-VISIBLE-LONG-WORK-ENTRY,,,
RULE-W1-014,SRC-W1-001,docs/W1-discovery/00-main.md,21,21,merge,IMPL-USER-VISIBLE-LONG-WORK-ENTRY,,,
RULE-W1-015,SRC-W1-001,docs/W1-discovery/00-main.md,21,21,merge,IMPL-USER-VISIBLE-LONG-WORK-ENTRY,,,
RULE-W1-016,SRC-W1-001,docs/W1-discovery/00-main.md,21,21,merge,RESEARCH-PREIMPLEMENTATION-GATE,,,
RULE-W1-017,SRC-W1-001,docs/W1-discovery/00-main.md,21,21,merge,IMPL-USER-VISIBLE-LONG-WORK-ENTRY,,,
RULE-W1-018,SRC-W1-001,docs/W1-discovery/00-main.md,27,27,merge,RESEARCH-DISCOVERY-APPLICABILITY,,,
RULE-W1-019,SRC-W1-001,docs/W1-discovery/00-main.md,28,28,merge,RESEARCH-DISCOVERY-APPLICABILITY,,,
RULE-W1-020,SRC-W1-001,docs/W1-discovery/00-main.md,29,29,merge,RESEARCH-REAL-WORLD-EVIDENCE,,,
RULE-W1-021,SRC-W1-001,docs/W1-discovery/00-main.md,33,33,rewrite,VERIFY-WORKFLOW-GATE-W1-001-L033,,,
RULE-W1-022,SRC-W1-001,docs/W1-discovery/00-main.md,34,34,rewrite,RESEARCH-INTERNAL-WORK-EXCLUSION,,,
RULE-W1-023,SRC-W1-001,docs/W1-discovery/00-main.md,35,35,merge,RESEARCH-INCIDENT-SEQUENCING,,,
RULE-W1-024,SRC-W1-001,docs/W1-discovery/00-main.md,35,35,merge,RESEARCH-INCIDENT-SEQUENCING,,,
RULE-W1-025,SRC-W1-001,docs/W1-discovery/00-main.md,39,39,rewrite,RESEARCH-CAPABILITY-IDENTITY,,,
RULE-W1-028,SRC-W1-001,docs/W1-discovery/00-main.md,54,54,merge,RESEARCH-REAL-WORLD-EVIDENCE,,,
RULE-W1-029,SRC-W1-001,docs/W1-discovery/00-main.md,54,54,rewrite,VERIFY-EVIDENCE-W1-001-L054,,,
RULE-W1-031,SRC-W1-001,docs/W1-discovery/00-main.md,56,56,rewrite,VERIFY-EVIDENCE-W1-001-L056,,,
RULE-W1-032,SRC-W1-001,docs/W1-discovery/00-main.md,56,56,merge,RESEARCH-EVIDENCE-BASED-DECISION,CATEGORY-INITIATION-001;ITEM-RESEARCH-001,,
RULE-W1-033,SRC-W1-001,docs/W1-discovery/00-main.md,60,60,rewrite,RESEARCH-LOW-RISK-AUTOMATION,,,
RULE-W1-034,SRC-W1-001,docs/W1-discovery/00-main.md,64,64,merge,DEFINITION-HUMAN-PRODUCT-DECISION,,,
RULE-W1-035,SRC-W1-001,docs/W1-discovery/00-main.md,65,65,merge,RESEARCH-VALUE-METRIC-AUTHORITY,,,
RULE-W1-036,SRC-W1-001,docs/W1-discovery/00-main.md,66,66,merge,RESEARCH-REAL-USER-EXPERIMENT-APPROVAL,,,
RULE-W1-037,SRC-W1-001,docs/W1-discovery/00-main.md,67,67,merge,TOPIC-INVESTMENT-EVIDENCE-GATE,,,
RULE-W1-038,SRC-W1-001,docs/W1-discovery/00-main.md,68,68,merge,RESEARCH-PRIVACY-ANALYTICS-APPROVAL,,,
RULE-W1-039,SRC-W1-001,docs/W1-discovery/00-main.md,69,69,merge,RESEARCH-EVIDENCE-BASED-DECISION,CATEGORY-INITIATION-001;ITEM-RESEARCH-001,,
RULE-W1-040,SRC-W1-001,docs/W1-discovery/00-main.md,74,74,rewrite,RESEARCH-PROPORTIONAL-ARTIFACTS,,,
RULE-W1-041,SRC-W1-001,docs/W1-discovery/00-main.md,83,83,rewrite,TOPIC-EVIDENCE-DEFICIT,,,
RULE-W1-042,SRC-W1-001,docs/W1-discovery/00-main.md,84,84,merge,RESEARCH-DEFINITION-HANDOFF,,,
RULE-W1-043,SRC-W1-001,docs/W1-discovery/00-main.md,84,84,merge,RESEARCH-DEFINITION-HANDOFF,,,
