rule_id,source_id,source_path,source_start_line,source_end_line,source_text,intent,applies_when,subject,rule_layer,candidate_category,candidate_item,secondary_impacts,cluster_id,treatment,target_rule_id,notes
RULE-W0-001,SRC-W0-001,docs/W0-intake/00-main.md,9,9,任务时长、文件数量、AI 参与或计划使用 OpenSpec 都不能单独触发本 playbook。,不得仅以任务时长触发 W0,评估是否进入 intake playbook 时,intake 触发条件,normative-requirement,立项,选题,,CLUSTER-SELECTION-INTAKE-RECORD,merge,TOPIC-SELECTION-TRIGGER,同句多判断拆分
RULE-W0-002,SRC-W0-001,docs/W0-intake/00-main.md,9,9,任务时长、文件数量、AI 参与或计划使用 OpenSpec 都不能单独触发本 playbook。,不得仅以文件数量触发 W0,评估是否进入 intake playbook 时,intake 触发条件,normative-requirement,立项,选题,,CLUSTER-SELECTION-INTAKE-RECORD,merge,TOPIC-SELECTION-TRIGGER,同句多判断拆分
RULE-W0-003,SRC-W0-001,docs/W0-intake/00-main.md,9,9,任务时长、文件数量、AI 参与或计划使用 OpenSpec 都不能单独触发本 playbook。,不得仅以 AI 参与触发 W0,评估是否进入 intake playbook 时,intake 触发条件,normative-requirement,立项,选题,,CLUSTER-SELECTION-INTAKE-RECORD,merge,TOPIC-SELECTION-TRIGGER;TOPIC-RD-APPLICABILITY,同句多判断拆分
RULE-W0-004,SRC-W0-001,docs/W0-intake/00-main.md,9,9,任务时长、文件数量、AI 参与或计划使用 OpenSpec 都不能单独触发本 playbook。,不得仅以计划使用 OpenSpec 触发 W0,评估是否进入 intake playbook 时,intake 触发条件,normative-requirement,立项,选题,,CLUSTER-SELECTION-PLANNING-GOVERNANCE-ROUTING-FP-SRC-W0-001,merge,TOPIC-SELECTION-TRIGGER,同句多判断拆分
RULE-W0-005,SRC-W0-001,docs/W0-intake/00-main.md,15,15,- 同时存在多个有价值候选项，需要明确取舍；,多个有价值候选需取舍时可使用 W0,同时存在多个有价值候选项时,intake 适用性,normative-requirement,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-SELECTION-TRIGGER,可选触发条件
RULE-W0-006,SRC-W0-001,docs/W0-intake/00-main.md,16,16,- 客户、安全、合规、收入、事故或维护工作争夺同一容量；,多类高影响工作争夺同一容量时可使用 W0,客户、安全、合规、收入、事故或维护工作争夺同一容量时,intake 适用性,normative-requirement,立项,选题,,CLUSTER-SELECTION-LIVE-INCIDENT-RESPONSE,merge,TOPIC-SELECTION-TRIGGER,可选触发条件
RULE-W0-007,SRC-W0-001,docs/W0-intake/00-main.md,17,17,- 中断后需要恢复“为何做/不做”的决定；,需要恢复取舍依据时可使用 W0,中断后需恢复为何做或不做的决定时,intake 适用性,normative-requirement,立项,选题,,CLUSTER-SELECTION-BACKUP-RESTORE-RECOVERY,merge,TOPIC-SELECTION-TRIGGER,可选触发条件
RULE-W0-008,SRC-W0-001,docs/W0-intake/00-main.md,18,18,- roadmap 可能被客户、销售、合同或公开材料引用；,roadmap 可能被外部引用时可使用 W0,roadmap 可能被客户、销售、合同或公开材料引用时,intake 适用性,normative-requirement,立项,选题,,CLUSTER-SELECTION-INTAKE-RECORD,merge,TOPIC-SELECTION-TRIGGER,可选触发条件
RULE-W0-009,SRC-W0-001,docs/W0-intake/00-main.md,19,19,- 反复讨论同一请求已经产生明显注意力成本。,重复讨论造成明显成本时可使用 W0,同一请求反复讨论已产生明显注意力成本时,intake 适用性,normative-requirement,立项,选题,,CLUSTER-SELECTION-CAPACITY-FOCUS-FP-SRC-W0-001,merge,TOPIC-SELECTION-TRIGGER,可选触发条件
RULE-W0-010,SRC-W0-001,docs/W0-intake/00-main.md,23,23,- Quick 路径的局部可逆修改；,Quick 局部可逆修改通常不用 W0,工作属于 Quick 且局部可逆时,intake 排除条件,normative-requirement,立项,选题,,CLUSTER-SELECTION-INTAKE-RECORD,merge,TOPIC-SELECTION-FAST-PATH,通常排除
RULE-W0-011,SRC-W0-001,docs/W0-intake/00-main.md,24,24,- 已有明确 outcome、acceptance 和 owner 的单一 Standard 工作；,已有完整责任与验收的单一 Standard 工作通常不用 W0,单一 Standard 工作已有 outcome、acceptance 和 owner 时,intake 排除条件,normative-requirement,立项,选题,,CLUSTER-SELECTION-INTAKE-RECORD,merge,TOPIC-SELECTION-FAST-PATH,通常排除
RULE-W0-012,SRC-W0-001,docs/W0-intake/00-main.md,25,25,- 正在止血的事故或已获批准的紧急动作；,事故止血或已批准紧急动作通常不用 W0,正在止血或动作已获批准时,intake 排除条件,risk-or-approval-boundary,立项,选题,,CLUSTER-SELECTION-LIVE-INCIDENT-RESPONSE,merge,TOPIC-SELECTION-FAST-PATH,通常排除
RULE-W0-013,SRC-W0-001,docs/W0-intake/00-main.md,26,26,- 只需要修复链接、拼写、格式或局部测试。,纯链接、拼写、格式或局部测试修复通常不用 W0,任务仅包含所列局部修复时,intake 排除条件,normative-requirement,工程交付,验证,,CLUSTER-VERIFICATION-TEST-VERIFICATION-EVIDENCE-SRC-W0-001,rewrite,VERIFY-EVIDENCE-W0-001-L026,G5 验证重写
